Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;77,68;204,66714;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;81,36;195,707742;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;292,58;515,443779;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;343,88;553,641414;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;572,02;364,329973;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;781,8;1452,485476;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;383,04;412,706099;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;668,08;264,347954;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;1313,54;485,895698;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;42,28;247,985415;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;27,54;20,505538;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;78,6;234,760469;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;88,96;246,059853;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;304,92;539,620274;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;378,38;817,309283;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;561,32;321,904897;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;825,52;1391,025903;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;456,8;536,538561;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;871,84;920,100654;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;1643,82;2269,873195;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1397;576,617182;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1646,38;607,597656;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1686,04;973,128712;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1529,56;569,105672;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1683,28;850,801035;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1875,9;1193,613534;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2091,7;626,879155;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2530,72;486,031459;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;3276,94;1005,461478;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;5180,98;1292,350176;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;9879,98;4112,155263;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;94,26;290,918583;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;83,54;75,837452;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;112,96;318,492088;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;136,72;207,236097;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;519,7;439,45051;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;805,48;1599,747353;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;901,22;259,334279;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;1585,6;1186,817746;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;3138,44;1112,5754;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;6020,3;2354,357998;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;ss;1;5;13856,6;9433,945629;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;31,58;142,485637;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;51,4;114,928337;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;95,64;222,023033;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;99,5;525,389638;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;371,5;312,000548;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;493,24;512,166302;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;847,8;1215,854708;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;1174,64;1870,66891;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;807,26;675,191203;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;1375,08;1977,912151;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;2841,18;8488,419978;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;31,94;92,680848;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;45,38;87,387308;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;107,66;279,192079;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;149,84;728,391443;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;352,58;372,867755;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;495,28;1070,567289;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;760,26;597,86363;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;1146,96;1829,922554;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;802,36;533,266959;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;1297,48;1063,596313;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;1801,18;3679,66004;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1756,42;511,778784;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2332,24;1512,290305;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1730,48;1013,164071;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;1969,76;1557,121766;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2048,8;1042,601896;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2261,48;1117,951637;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2427,12;793,158596;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;2983,58;1796,758226;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;3785,06;1438,664901;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;5745,98;2011,843174;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;ss;1;5;12235,46;7534,890989;us/op;100000
